path,module,installed_package,owner,role,lines,direct_internal_dependencies,runtime_importers,test_importers,decision,target_package,change_risk
python_port/__init__.py,,false,dormant_scaffold,package_marker,1,,,,retire_after_import_check,,low
python_port/context/__init__.py,context,false,dormant_scaffold,package_marker,5,,,,retire_after_import_check,,low
python_port/context/models.py,context.models,false,dormant_scaffold,runtime,16,,,,retire_after_import_check,,low
python_port/entities/__init__.py,entities,false,dormant_scaffold,package_marker,5,,,,retire_after_import_check,,low
python_port/entities/models.py,entities.models,false,dormant_scaffold,runtime,12,,,,retire_after_import_check,,low
python_port/ims/__init__.py,ims,true,package_root,package_marker,6,,,tests/test_imports.py,keep,ims,medium
python_port/ims/analysis/__init__.py,ims.analysis,true,analysis,package_marker,13,,,tests/test_imports.py,keep,ims.reporting,medium
python_port/ims/analysis/aggregates.py,ims.analysis.aggregates,true,analysis,runtime,47,ims.engine.context|ims.model.entities,python_port/ims/engine/simulation.py|python_port/ims/engine/vu_rule_runner.py,tests/test_aggregates_basic.py|tests/test_imports.py,keep,ims.reporting,medium
python_port/ims/api/__init__.py,ims.api,true,workbench,package_marker,1,,,tests/test_imports.py,keep,ims.workbench,medium
python_port/ims/api/app.py,ims.api.app,true,workbench,web_app,751,ims.api.controlled_execution_adapter|ims.api.core_validation_carryover_probe_contract|ims.api.metadata|ims.api.metadata_consistency|ims.api.metadata_import|ims.api.metadata_repository|ims.api.run_control_adapter_result_api_contract|ims.api.run_control_adapter_start|ims.api.run_control_adapter_start_contract|ims.api.run_control_core_diagnostics_bridge|ims.api.run_control_dry_run|ims.api.run_control_dry_run_contract|ims.api.run_control_execution_history|ims.api.run_control_execution_release|ims.api.run_control_execution_result_store|ims.api.run_control_preflight|ims.api.run_control_queue|ims.api.run_control_queue_action_plan|ims.api.run_control_queue_overview|ims.api.run_control_requests|ims.engine.core_validation_overview,python_port/ims/api/run_control_browser_demo_smoke.py,tests/test_api_health.py|tests/test_api_metadata_consistency.py|tests/test_api_run_control_adapter_start.py|tests/test_api_run_control_adapter_start_contract.py|tests/test_api_run_control_execution_history.py|tests/test_api_run_control_execution_release.py|tests/test_api_run_control_execution_result_store.py|tests/test_version_contract.py|tests/test_workbench_demo_smoke.py|tests/test_workbench_smoke.py,review_split,ims.workbench,medium
